# R[arc]  Vc[km/s]   Vc_err[km/s]
50.000  5.236  1.134
75.000  5.902  0.812
100.000  6.539  1.167
125.000  4.653  0.049
150.000  4.068  0.166
175.000  4.945  1.167
200.000  5.937  1.236
225.000  6.169  1.308
250.000  8.017  1.309
275.000 10.499  1.363
300.000 11.104  1.290
325.000 10.352  1.488
350.000 10.618  1.516
375.000 10.651  1.473
400.000 11.084  1.509
425.000 11.474  1.390
450.000 12.476  1.688
475.000 14.095  1.685
500.000 15.328  1.649
525.000 16.914  1.662
550.000 18.131  1.706
575.000 18.496  2.028
600.000 19.019  2.082
625.000 19.861  2.151
650.000 18.982  2.069
675.000 19.140  1.964
700.000 18.413  2.022
