# Mass loading factors
# Galaxy 	M_X 			log(M_*/M_sun)  sSFR (10^{-10} yr^-1) SF Conc (%)	Massloading Vc (km/s) 
#McQuinn+2019, M_B, HI & Halpha
UGC9128        -11.98 0.02 	7.11 0.07		4	66 	2.2 	0 	12.1
UGC4483        -12.36 0.02	7.04 0.08	 	10	29 	1.0 	0 	22.8
NGC4163        -13.63 0.02	7.99 0.12	 	1	79  	7.1 	0 	18.1
UGC6456        -13.70 0.03	7.68 0.17	 	5	80  	2.4 	0 	20.5
NGC4190	 	-14.02 0.02 	7.49 0.34	 	5	75  	1.4 	0 	39.3
NGC4068        -14.95 0.02	8.34 0.07	 	2	03 	0.6 	0 	35.4
NGC2366        -15.77 0.04	8.41 0.05	 	6	15  	0.2 	0 	53.7
HolmbergII     -16.06 0.04	8.48 0.06	 	6	06  	0.8 	0 	36.1
NGC4214        -17.13 0.02	8.99 0.03	 	1	30  	1.2 	0 	79
NGC1569	 	-17.86 0.02	8.85 0.04	 	3	85  	3.4 	0 	50
NGC4449        -18.25 0.02	9.32 0.07	 	5	22  	1.6 	0 	75
#Chisholm 2017 - UV spectra
SBS1415+437	999	999	6.9 	0 		25.2 	0 	19	17 	18
IZw18		999	999	7.2 	0 		12.6 	0 	11	8 	21
MRK1486		999	999	9.3 	0 		18.0 	0 	0.91	0.33 	82
KISSR1578	999	999	9.5 	0 		11.7 	0 	2.0	0.57	94
Haro11		999	999	10.1 	0 		20.7 	0 	1.2	0.51	137
NGC7714		999	999	10.3 	0 		4.61 	0 	0.23	0.08	156
IRAS083396517	999	999	10.5 	0 		4.42 	0 	0.07	0.03	179
NGC6090		999	999	10.7 	0 		4.99 	0 	0.54	0.18	202

